date,open,close,high,low,volume
2019-12-31,1000.0,1000.0,1000.0,1000.0,1516205.33
2020-01-02,1005.617,1019.723,1019.91,1005.617,2193852.76
2020-01-03,1021.669,1024.482,1029.071,1018.681,2160583.48
2020-01-06,1019.999,1027.277,1040.14,1019.999,2663011.81
2020-01-07,1025.663,1043.083,1043.083,1019.858,2675921.67
2020-01-08,1035.836,1051.16,1059.436,1034.513,3207626.5
2020-01-09,1060.58,1078.312,1081.404,1060.58,2843420.95
2020-01-10,1082.31,1076.438,1088.543,1076.438,2515474.87
2020-01-13,1076.762,1105.848,1105.848,1069.779,2466259.19
2020-01-14,1107.776,1118.306,1133.899,1107.776,3262463.82
2020-01-15,1113.252,1114.766,1120.346,1105.575,2420464.21
2020-01-16,1116.508,1154.303,1161.477,1116.508,3085287.99
2020-01-17,1159.372,1238.664,1252.556,1159.372,5873596.71
2020-01-20,1239.439,1240.509,1270.359,1208.69,5202591.97
2020-01-21,1233.646,1195.014,1247.841,1194.797,4206788.73
2020-01-22,1178.784,1244.525,1247.61,1157.29,4794740.04
2020-01-23,1219.233,1202.102,1262.436,1177.094,4425934.37
2020-02-03,1018.276,1030.55,1082.789,1015.597,5466543.16
2020-02-04,1049.956,1153.232,1153.232,1049.956,5286206.05
2020-02-05,1166.973,1203.613,1240.368,1166.973,5860213.39
2020-02-06,1191.731,1238.757,1251.843,1191.731,5589981.66
2020-02-07,1240.038,1307.757,1307.757,1234.234,5664784.58
2020-02-10,1310.526,1322.25,1336.526,1293.43,5932906.94
2020-02-11,1318.42,1283.572,1318.42,1266.214,5037530.86
2020-02-12,1274.796,1348.702,1360.549,1274.796,4763905.79
2020-02-13,1360.129,1360.709,1409.684,1353.045,6144055.01
2020-02-14,1359.373,1327.224,1382.955,1305.974,5310166.42
2020-02-17,1332.965,1381.553,1381.553,1332.965,4969888.92
2020-02-18,1381.583,1399.384,1404.712,1372.526,4905608.71
2020-02-19,1398.781,1373.444,1412.169,1373.444,4783190.39
2020-02-20,1377.756,1348.338,1390.019,1321.734,4222266.19
2020-02-21,1337.557,1346.863,1373.667,1337.557,4475454.98
2020-02-24,1341.988,1351.71,1359.227,1328.747,4199988.2
2020-02-25,1312.479,1367.368,1371.576,1312.479,4611598.76
2020-02-26,1348.075,1288.242,1361.006,1286.345,5015814.02
2020-02-27,1293.187,1264.941,1293.187,1251.451,5032823.38
2020-02-28,1206.858,1191.055,1231.094,1187.096,5132083.97
2020-03-02,1202.959,1252.624,1259.076,1194.937,4979736.01
2020-03-03,1278.269,1285.034,1332.835,1272.063,5122939.27
2020-03-04,1268.834,1255.723,1277.686,1226.802,3819524.08
2020-03-05,1277.706,1264.788,1277.706,1246.714,4312615.62
2020-03-06,1246.096,1243.373,1255.074,1237.623,3261213.4
2020-03-09,1216.035,1171.859,1223.246,1171.859,3872702.67
2020-03-10,1148.397,1216.328,1216.328,1135.209,4064920.4
2020-03-11,1218.516,1184.71,1233.426,1184.71,4248509.27
2020-03-12,1161.922,1167.065,1177.36,1151.785,2805383.69
2020-03-13,1103.956,1175.282,1187.701,1103.956,3383309.86
2020-03-16,1188.078,1115.084,1200.464,1115.084,3181187.08
2020-03-17,1132.949,1131.547,1141.388,1079.838,2972677.85
2020-03-18,1145.302,1115.019,1173.234,1115.019,2999560.33
2020-03-19,1116.263,1128.973,1133.695,1091.24,2785031.83
2020-03-20,1140.092,1127.369,1148.09,1114.291,2355961.03
2020-03-23,1092.501,1039.884,1096.4,1037.528,2830474.41
2020-03-24,1067.014,1060.843,1071.34,1020.249,2368341.77
2020-03-25,1097.309,1101.319,1110.099,1094.163,2496325.76
2020-03-26,1093.331,1095.338,1111.484,1091.004,2113778.99
2020-03-27,1109.542,1084.505,1110.537,1082.932,2292012.53
2020-03-30,1062.899,1035.827,1062.899,1021.499,2260875.62
2020-03-31,1048.736,1029.749,1055.268,1027.224,1703671.65
2020-04-01,1026.575,1037.927,1060.708,1026.575,1750560.79
2020-04-02,1033.559,1094.826,1094.826,1033.559,2093097.45
2020-04-03,1089.242,1080.53,1095.311,1074.186,1814409.81
2020-04-07,1109.611,1111.654,1117.789,1108.778,1986226.64
2020-04-08,1104.955,1104.145,1117.806,1100.31,1707432.71
2020-04-09,1107.474,1101.281,1110.06,1094.924,2031734.92
2020-04-10,1100.368,1058.44,1100.368,1054.346,2271444.59
2020-04-13,1048.206,1042.145,1052.006,1038.818,1519103.2
2020-04-14,1049.212,1073.217,1073.217,1049.212,1430019.69
2020-04-15,1076.941,1088.203,1101.674,1076.941,1662278.63
2020-04-16,1080.873,1091.933,1097.198,1080.873,1784416.97
2020-04-17,1102.657,1117.07,1129.12,1102.657,2585719.47
2020-04-20,1119.259,1133.361,1133.361,1115.722,5014214.02
2020-04-21,1127.658,1119.229,1127.658,1108.476,3842314.48
2020-04-22,1108.683,1135.849,1135.849,1108.683,3821580.47
2020-04-23,1140.801,1149.716,1157.869,1140.549,4052550.44
2020-04-24,1148.59,1144.153,1155.543,1139.305,3590074.86
2020-04-27,1140.194,1138.1,1145.748,1136.234,3145268.71
2020-04-28,1130.615,1113.513,1130.615,1037.26,4609236.37
2020-04-29,1105.6,1102.698,1125.193,1102.572,3100417.9
2020-04-30,1107.426,1166.348,1171.8,1107.426,4087211.42
2020-05-06,1155.117,1247.513,1252.754,1155.117,5630939.9
2020-05-07,1249.636,1224.105,1249.636,1218.238,5422596.35
2020-05-08,1230.907,1240.246,1272.625,1230.907,4659406.89
2020-05-11,1244.303,1226.061,1268.077,1215.97,4125489.7
2020-05-12,1222.387,1233.592,1233.639,1203.147,3822613.93
2020-05-13,1227.722,1247.034,1252.578,1227.722,4068998.77
2020-05-14,1241.844,1242.169,1258.254,1238.23,4678296.37
2020-05-15,1244.741,1270.481,1280.05,1244.741,4315539.86
2020-05-18,1279.29,1254.299,1279.29,1253.328,5082221.06
2020-05-19,1260.221,1324.418,1324.418,1260.221,4807584.34
2020-05-20,1317.404,1306.998,1348.577,1297.673,5623680.83
2020-05-21,1305.912,1251.931,1309.505,1251.523,4949058.34
2020-05-22,1247.605,1230.659,1258.314,1208.82,4240916.63
2020-05-25,1223.866,1212.087,1227.559,1205.725,3390681.53
2020-05-26,1217.622,1272.661,1272.92,1217.622,4465922.14
2020-05-27,1271.457,1253.272,1281.205,1251.082,4571550.47
2020-05-28,1251.059,1232.22,1256.218,1206.617,4239302.27
2020-05-29,1227.2,1246.111,1267.427,1227.2,4498588.34
2020-06-01,1257.966,1300.741,1309.96,1257.966,5072010.78
2020-06-02,1305.797,1305.637,1312.516,1294.219,4847517.85
2020-06-03,1305.734,1294.28,1314.144,1293.595,4800510.23
2020-06-04,1295.155,1299.803,1306.067,1291.208,5499727.85
2020-06-05,1300.254,1297.306,1307.887,1292.051,4740083.33
2020-06-08,1306.497,1280.053,1311.682,1277.289,4728842.52
2020-06-09,1277.447,1278.507,1278.852,1269.112,4279470.81
2020-06-10,1278.074,1269.978,1278.074,1265.111,5710625.26
2020-06-11,1270.724,1273.59,1294.34,1265.378,5348532.49
2020-06-12,1246.803,1262.29,1268.46,1246.803,4809826.23
2020-06-15,1262.476,1249.909,1271.905,1249.583,4679291.83
2020-06-16,1259.086,1289.135,1289.135,1259.086,5315518.0
2020-06-17,1291.035,1291.117,1299.777,1280.519,5459737.3
2020-06-18,1289.765,1302.371,1304.486,1286.473,4995969.24
2020-06-19,1301.021,1325.147,1329.202,1301.021,4724995.14
2020-06-22,1347.942,1371.207,1380.374,1347.942,7112389.8
2020-06-23,1365.329,1407.193,1407.193,1365.329,5800882.24
2020-06-24,1408.548,1424.277,1432.988,1406.869,6376433.04
2020-06-29,1415.911,1401.644,1415.911,1393.715,5241554.58
2020-06-30,1410.577,1447.886,1454.307,1410.577,5533660.39
2020-07-01,1453.252,1439.878,1459.771,1417.602,6278613.52
2020-07-02,1439.009,1437.052,1452.745,1424.148,5994840.48
2020-07-03,1435.082,1438.585,1441.089,1408.08,6024870.37
2020-07-06,1445.607,1538.402,1547.135,1444.686,9449414.67
2020-07-07,1550.296,1572.189,1617.6,1550.296,10320028.01
2020-07-08,1572.776,1599.905,1608.193,1555.306,7913151.86
2020-07-09,1596.984,1666.85,1681.906,1594.256,9680794.36
2020-07-10,1653.505,1654.826,1682.619,1633.183,7818090.11
2020-07-13,1647.183,1721.976,1721.976,1640.984,8097677.94
2020-07-14,1714.871,1701.582,1726.193,1647.642,9448435.48
2020-07-15,1702.581,1612.035,1707.633,1611.911,10008757.26
2020-07-16,1606.435,1469.798,1612.328,1460.64,13819920.26
2020-07-17,1475.464,1443.397,1495.914,1425.642,8965055.76
2020-07-20,1459.784,1459.034,1463.707,1388.277,9053350.01
2020-07-21,1456.487,1490.171,1499.854,1454.588,7598157.0
2020-07-22,1474.015,1497.231,1519.122,1468.112,9910810.97
2020-07-23,1487.2,1494.14,1512.47,1459.73,8947755.0
2020-07-24,1467.1,1389.31,1474.46,1389.31,10254387.0
2020-07-27,1396.49,1374.52,1403.11,1361.98,6206763.0
2020-07-28,1385.79,1400.54,1404.9,1383.28,5444707.0
2020-07-29,1400.92,1476.92,1476.92,1395.97,7326990.0
2020-07-30,1484.43,1472.79,1496.27,1467.8,7402878.0
2020-07-31,1469.1,1512.98,1513.76,1467.78,8554323.0
2020-08-03,1533.23,1622.81,1622.81,1533.23,9665389.0
2020-08-04,1620.79,1566.06,1628.14,1555.9,7827533.0
2020-08-05,1592.39,1588.62,1597.47,1556.68,7167247.0
2020-08-06,1582.47,1573.87,1589.75,1552.54,6986209.0
2020-08-07,1561.86,1526.8,1568.56,1492.25,7357510.0
2020-08-10,1520.1,1535.6,1555.68,1507.27,6018437.0
2020-08-11,1531.6,1491.84,1539.84,1490.83,5771384.0
2020-08-12,1485.56,1458.64,1488.88,1422.73,6336105.0
2020-08-13,1465.6,1468.23,1482.63,1453.38,4944971.0
2020-08-14,1466.8,1484.04,1486.4,1453.74,4313049.0
2020-08-17,1486.81,1496.4,1501.25,1471.92,7506811.0
2020-08-18,1496.42,1512.51,1512.76,1492.96,7946743.0
2020-08-19,1516.98,1472.02,1517.89,1470.34,8016528.0
2020-08-20,1460.03,1442.58,1473.05,1438.46,6154748.0
2020-08-21,1447.8,1447.71,1467.98,1443.52,5215102.0
2020-08-24,1453.49,1450.67,1457.58,1421.89,5606668.0
2020-08-25,1449.54,1427.7,1462.9,1424.42,5269909.0
2020-08-26,1422.0,1383.31,1430.79,1377.21,6544953.0
2020-08-27,1389.94,1417.56,1429.96,1380.13,6056520.0
2020-08-28,1415.65,1413.64,1416.82,1393.85,5652897.0
2020-08-31,1417.66,1423.24,1441.46,1417.66,5475692.0
2020-09-01,1424.43,1426.65,1435.65,1419.6,4431871.0
2020-09-02,1430.87,1422.95,1434.92,1411.84,4919830.0
2020-09-03,1422.42,1402.14,1423.89,1396.11,5304861.0
2020-09-04,1377.39,1390.28,1396.0,1371.16,4909810.0
2020-09-07,1387.49,1356.7,1394.9,1349.77,6207608.0
2020-09-08,1356.82,1344.61,1363.28,1328.92,4448545.0
2020-09-09,1331.43,1298.08,1332.07,1289.35,6252185.0
2020-09-10,1309.32,1280.19,1321.06,1276.5,4750599.0
2020-09-11,1279.84,1312.51,1313.85,1272.84,4036201.0
2020-09-14,1334.98,1348.07,1372.83,1334.98,4373248.0
2020-09-15,1348.79,1364.6,1372.44,1334.82,4109504.0
2020-09-16,1363.32,1349.67,1364.42,1341.68,4133686.0
2020-09-17,1347.45,1383.59,1393.85,1335.03,8406254.0
2020-09-18,1386.38,1403.9,1403.92,1379.92,6376210.0
2020-09-21,1407.07,1397.75,1411.5,1390.9,5173416.0
2020-09-22,1389.78,1390.09,1403.26,1379.01,5571567.0
2020-09-23,1401.37,1423.9,1440.64,1400.28,6208908.0
2020-09-24,1412.16,1394.93,1416.38,1392.01,5031487.0
2020-09-25,1399.39,1364.02,1402.68,1360.55,3824131.0
2020-09-28,1367.46,1338.95,1369.04,1335.99,4523227.0
2020-09-29,1345.99,1389.96,1403.43,1345.99,4293616.0
2020-09-30,1394.86,1418.8,1431.88,1393.91,3985063.0
2020-10-09,1446.52,1465.96,1467.98,1446.52,4921015.0
2020-10-12,1475.26,1490.58,1491.61,1469.65,6598166.0
2020-10-13,1491.85,1497.6,1498.83,1485.13,5095454.0
2020-10-14,1495.34,1488.67,1498.0,1481.12,4673418.0
2020-10-15,1489.38,1453.79,1493.0,1451.88,4520312.0
2020-10-16,1457.15,1438.53,1461.83,1429.08,3777447.0
2020-10-19,1444.84,1412.15,1446.49,1411.27,4009461.0
2020-10-20,1413.87,1426.18,1428.08,1402.71,3879556.0
2020-10-21,1427.24,1396.98,1429.45,1396.12,3849928.0
2020-10-22,1395.13,1376.58,1395.13,1373.51,3329097.0
2020-10-23,1380.37,1336.53,1389.52,1336.37,3775379.0
2020-10-26,1332.68,1356.11,1364.97,1313.45,3074009.0
2020-10-27,1359.18,1385.75,1386.8,1354.81,3147773.0
2020-10-28,1396.56,1406.07,1413.66,1392.07,4166346.0
2020-10-29,1394.28,1412.06,1418.41,1387.38,4612046.0
2020-10-30,1413.51,1393.91,1430.12,1393.91,6123725.0
2020-11-02,1402.08,1400.91,1406.94,1370.9,5250701.0
2020-11-03,1403.64,1449.01,1451.63,1402.26,5020761.0
2020-11-04,1454.73,1458.9,1462.67,1443.42,4180001.0
2020-11-05,1477.61,1475.38,1479.47,1453.72,4796505.0
2020-11-06,1477.53,1441.47,1477.53,1429.12,4453441.0
2020-11-09,1446.47,1485.15,1491.52,1442.62,7796951.0
2020-11-10,1483.66,1441.97,1483.66,1438.59,5811330.0
2020-11-11,1440.78,1395.51,1441.0,1393.73,5615446.0
2020-11-12,1404.81,1413.29,1421.74,1404.57,4220596.0
2020-11-13,1406.68,1436.89,1441.01,1401.46,4160211.0
2020-11-16,1520.27,1446.95,1520.27,1444.39,4716782.0
2020-11-17,1455.23,1430.81,1455.23,1425.26,4858681.0
2020-11-18,1431.66,1419.23,1441.22,1418.36,5021121.0
2020-11-19,1415.64,1435.92,1436.49,1408.22,4496034.0
2020-11-20,1433.95,1430.72,1442.31,1427.31,4702930.0
2020-11-23,1429.39,1418.1,1429.39,1412.02,4743939.0
2020-11-24,1412.02,1412.75,1420.34,1409.4,4864347.0
2020-11-25,1414.19,1388.36,1414.51,1387.56,4652580.0
2020-11-26,1386.21,1385.31,1398.57,1380.13,3800503.0
2020-11-27,1386.65,1387.77,1398.14,1380.64,3723177.0
2020-11-30,1392.95,1385.48,1397.01,1380.22,4183574.0
2020-12-01,1386.58,1404.24,1408.04,1381.96,3731742.0
2020-12-02,1408.67,1408.49,1419.11,1403.73,5738486.0
2020-12-03,1410.44,1410.83,1418.12,1398.1,4585012.0
2020-12-04,1409.59,1404.87,1410.93,1401.53,4178597.0
2020-12-07,1410.5,1406.19,1417.78,1403.42,4758978.0
2020-12-08,1405.72,1398.73,1408.79,1397.55,4279576.0
2020-12-09,1400.57,1365.04,1404.23,1364.2,4783357.0
2020-12-10,1363.0,1360.18,1370.83,1355.88,5043398.0
2020-12-11,1362.34,1362.96,1365.43,1345.32,6665413.0
2020-12-14,1361.61,1375.06,1380.05,1353.9,4584335.0
2020-12-15,1373.96,1363.18,1379.77,1357.36,4713483.0
2020-12-16,1357.22,1345.13,1357.22,1339.96,5560614.0
2020-12-17,1343.28,1363.36,1364.88,1339.9,4798301.0
2020-12-18,1381.48,1361.11,1381.48,1357.77,4663221.0
2020-12-21,1359.69,1388.67,1390.59,1355.93,5212184.0
2020-12-22,1383.29,1358.62,1390.99,1355.97,5162246.0
2020-12-23,1359.73,1376.6,1378.61,1355.25,5196093.0
2020-12-24,1378.38,1348.01,1384.31,1347.8,5764382.0
2020-12-25,1348.47,1349.79,1357.65,1340.79,4981681.0
2020-12-28,1345.3,1339.01,1349.35,1335.25,5208984.0
2020-12-29,1338.24,1337.47,1353.06,1336.09,4819255.0
2020-12-30,1336.72,1362.91,1367.76,1335.21,5200486.0
2020-12-31,1370.44,1393.03,1394.74,1368.47,5460861.0
2021-01-04,1398.96,1422.12,1425.7,1389.59,5855451.0
2021-01-05,1413.18,1425.16,1427.12,1409.54,6097512.0
2021-01-06,1430.07,1415.02,1434.19,1408.06,6071455.0
2021-01-07,1414.9,1381.94,1417.43,1370.19,6633573.0
2021-01-08,1382.15,1378.74,1385.12,1366.18,5424099.0
2021-01-11,1385.35,1390.66,1407.91,1378.12,5762420.0
2021-01-12,1389.47,1405.22,1408.42,1379.8,4511353.0
2021-01-13,1412.07,1407.41,1416.66,1389.77,5709620.0
2021-01-14,1406.05,1447.27,1478.75,1399.56,7542993.0
2021-01-15,1450.86,1447.58,1465.69,1431.45,6054884.0
2021-01-18,1443.82,1481.25,1496.37,1437.02,6290347.0
2021-01-19,1485.46,1443.92,1489.22,1441.62,5731520.0
2021-01-20,1450.72,1481.45,1482.11,1444.74,4920432.0
2021-01-21,1485.65,1482.28,1492.95,1465.89,5260490.0
2021-01-22,1482.65,1486.31,1487.61,1456.02,5801637.0
2021-01-25,1481.74,1498.6,1513.73,1471.18,6035836.0
2021-01-26,1498.0,1478.45,1509.41,1471.31,4841190.0
2021-01-27,1481.49,1458.37,1489.76,1441.18,4527917.0
2021-01-28,1441.4,1421.59,1461.84,1418.94,4281555.0
2021-01-29,1435.28,1421.96,1440.25,1400.67,4920399.0
2021-02-01,1419.18,1421.48,1439.04,1412.16,4623272.0
2021-02-02,1419.71,1438.06,1438.09,1414.36,4469188.0
2021-02-03,1436.0,1410.15,1443.98,1410.15,5084930.0
2021-02-04,1402.09,1394.1,1412.71,1367.71,4842044.0
2021-02-05,1396.12,1368.8,1407.32,1368.65,4227634.0
2021-02-08,1371.75,1382.48,1395.14,1367.33,3771755.0
2021-02-09,1389.07,1427.68,1434.87,1383.86,3905478.0
2021-02-10,1424.77,1437.02,1440.21,1407.64,4082148.0
2021-02-18,1457.8,1429.74,1465.68,1429.09,4797954.0
2021-02-19,1426.1,1427.91,1430.72,1404.15,4339918.0
2021-02-22,1431.56,1389.92,1436.8,1388.52,5450826.0
2021-02-23,1371.63,1390.53,1401.51,1370.91,4358750.0
2021-02-24,1393.72,1365.64,1398.33,1358.41,4513936.0
2021-02-25,1373.84,1349.71,1375.61,1349.71,4900397.0
2021-02-26,1319.89,1325.59,1344.15,1319.65,4743338.0
2021-03-01,1339.99,1358.14,1359.72,1337.19,4967721.0
2021-03-02,1373.03,1352.04,1373.66,1342.9,5245032.0
2021-03-03,1350.01,1359.4,1359.79,1340.32,4491709.0
2021-03-04,1358.28,1324.16,1362.99,1322.34,5243798.0
2021-03-05,1307.06,1329.84,1338.83,1305.92,3836834.0
2021-03-08,1337.02,1275.46,1340.42,1275.46,4922588.0
2021-03-09,1275.32,1230.14,1278.32,1227.18,5040233.0
2021-03-10,1251.18,1232.74,1258.88,1227.42,3711132.0
2021-03-11,1241.1,1267.3,1273.96,1227.33,3855338.0
2021-03-12,1268.44,1261.32,1269.21,1251.2,3716221.0
2021-03-15,1254.68,1223.39,1254.68,1213.43,3478461.0
2021-03-16,1223.8,1220.37,1231.99,1212.34,3304112.0
2021-03-17,1220.45,1236.54,1237.91,1213.35,3172300.0
2021-03-18,1241.56,1241.31,1251.56,1237.62,3572963.0
2021-03-19,1226.41,1231.29,1242.13,1221.42,3970796.0
2021-03-22,1229.47,1242.76,1247.49,1227.84,3570030.0
