date,open,close,high,low,volume
2019-01-02,4436.75,4408.53,4444.44,4399.59,66272240.0
2019-01-03,4404.31,4376.86,4446.03,4375.86,80494980.0
2019-01-04,4338.06,4497.89,4497.91,4326.33,103470812.0
2019-01-07,4523.23,4594.15,4598.63,4516.0,114553618.0
2019-01-08,4586.83,4585.03,4596.8,4567.29,107411023.0
2019-01-09,4588.69,4594.74,4654.77,4578.45,123173858.0
2019-01-10,4592.74,4582.48,4619.82,4571.09,106482939.0
2019-01-11,4585.22,4621.61,4621.61,4575.64,104124236.0
2019-01-14,4621.7,4594.19,4625.56,4580.54,101738120.0
2019-01-15,4583.55,4644.17,4644.17,4569.14,101562237.0
2019-01-16,4644.23,4637.2,4669.63,4632.07,102219630.0
2019-01-17,4632.27,4595.49,4639.79,4590.31,103440105.0
2019-01-18,4596.25,4626.41,4627.66,4576.77,109175225.0
2019-01-21,4629.79,4655.11,4668.48,4624.65,100076064.0
2019-01-22,4651.03,4603.2,4651.1,4589.37,97121041.0
2019-01-23,4590.69,4609.67,4609.68,4580.62,85172901.0
2019-01-24,4613.93,4635.75,4651.02,4591.8,99056797.0
2019-01-25,4634.06,4607.94,4651.32,4606.87,99927190.0
2019-01-28,4629.43,4570.4,4640.62,4565.79,90487999.0
2019-01-29,4557.81,4490.05,4558.05,4419.4,96718036.0
2019-01-30,4464.8,4423.14,4492.66,4422.36,74488978.0
2019-01-31,4408.11,4355.74,4441.42,4328.92,94572194.0
2019-02-01,4369.27,4482.99,4482.99,4369.27,77712659.0
2019-02-11,4497.53,4611.83,4611.83,4497.53,92672577.0
2019-02-12,4611.85,4675.79,4685.13,4604.1,112331012.0
2019-02-13,4679.69,4759.83,4766.18,4672.78,136305865.0
2019-02-14,4758.51,4780.04,4801.09,4741.52,122835601.0
2019-02-15,4772.98,4773.51,4805.8,4763.76,125212371.0
2019-02-18,4805.33,4942.88,4942.88,4805.33,164851885.0
2019-02-19,4964.22,4963.75,4988.26,4897.23,192358065.0
2019-02-20,4958.89,4967.04,4971.13,4906.63,165216070.0
2019-02-21,4957.63,4947.66,5046.62,4930.97,190944300.0
2019-02-22,4935.44,5059.51,5059.51,4932.2,178598982.0
2019-02-25,5129.47,5324.25,5324.52,5120.47,279811989.0
2019-02-26,5335.38,5323.76,5438.88,5273.9,301079738.0
2019-02-27,5312.56,5310.27,5391.87,5245.41,249461989.0
2019-02-28,5306.2,5330.34,5370.21,5291.98,200466406.0
2019-03-01,5344.42,5364.37,5364.37,5286.0,178938607.0
2019-03-04,5418.71,5482.3,5562.2,5418.27,273202346.0
2019-03-05,5470.7,5654.31,5654.31,5451.29,268062367.0
2019-03-06,5694.9,5776.97,5776.98,5625.34,322771413.0
2019-03-07,5775.3,5877.3,5928.61,5750.05,329260507.0
2019-03-08,5736.93,5633.32,5913.03,5633.29,328703794.0
2019-03-11,5682.57,5876.34,5876.34,5645.18,264261667.0
2019-03-12,5922.57,6006.18,6046.62,5897.17,318246948.0
2019-03-13,6014.51,5866.63,6039.97,5822.57,293148958.0
2019-03-14,5810.02,5688.95,5860.93,5622.34,232973851.0
2019-03-15,5723.65,5777.11,5816.31,5704.27,200343467.0
2019-03-18,5801.32,5916.34,5916.34,5743.6,212333651.0
2019-03-19,5916.17,5941.91,5968.34,5895.18,208325492.0
2019-03-20,5935.27,5926.17,5948.85,5811.2,214445294.0
2019-03-21,5929.75,5990.64,6034.48,5914.67,247020488.0
2019-03-22,5981.7,6014.55,6022.07,5889.68,222264881.0
2019-03-25,5914.85,5961.44,6039.66,5890.4,220347591.0
