date,advancers,unchanged,decliners,quoted_total,emotion,source
2022-12-16,1291,112,3434,4837,26.690097167665908,HuggingFace:cedwyh/jinjing-shared-data
2022-12-19,525,26,4284,4835,10.858324715615305,HuggingFace:cedwyh/jinjing-shared-data
2022-12-20,2115,209,2511,4835,43.743536711478804,HuggingFace:cedwyh/jinjing-shared-data
2022-12-21,1265,144,3421,4830,26.19047619047619,HuggingFace:cedwyh/jinjing-shared-data
2022-12-22,817,86,3935,4838,16.887143447705665,HuggingFace:cedwyh/jinjing-shared-data
2022-12-23,1999,226,2615,4840,41.30165289256198,HuggingFace:cedwyh/jinjing-shared-data
2022-12-26,3609,141,1090,4840,74.56611570247934,HuggingFace:cedwyh/jinjing-shared-data
2022-12-27,2893,207,1744,4844,59.7233691164327,HuggingFace:cedwyh/jinjing-shared-data
2022-12-28,908,117,3818,4843,18.74870947759653,HuggingFace:cedwyh/jinjing-shared-data
2022-12-29,1512,143,3194,4849,31.181686945762014,HuggingFace:cedwyh/jinjing-shared-data
2022-12-30,3191,182,1474,4847,65.83453682690323,HuggingFace:cedwyh/jinjing-shared-data
