date,advancers,unchanged,decliners,quoted_total,emotion,limit_up,limit_down,last_update_time,source
2024-08-22,777,94,4468,5339,14.553287132421802,41,12,2024-08-22 15:00:16,同花顺涨跌分布
2024-08-23,1886,221,3230,5337,35.33820498407345,50,14,2024-08-23 15:00:16,同花顺涨跌分布
2024-08-26,3843,150,1346,5339,71.97977149278891,59,10,2024-08-26 15:00:16,同花顺涨跌分布
2024-08-27,1053,111,4174,5338,19.72648932184339,58,8,2024-08-27 15:00:16,同花顺涨跌分布
2024-08-28,3417,236,1685,5338,64.01273885350318,53,7,2024-08-28 15:00:16,同花顺涨跌分布
2024-08-29,4177,195,966,5338,78.25028100412139,65,1,2024-08-29 15:00:16,同花顺涨跌分布
2024-08-30,4679,94,565,5338,87.65455226676659,80,0,2024-08-30 15:00:16,同花顺涨跌分布
2024-09-02,823,98,4415,5336,15.423538230884557,54,9,2024-09-02 15:00:16,同花顺涨跌分布
2024-09-03,3923,247,1167,5337,73.50571482106052,74,7,2024-09-03 15:00:16,同花顺涨跌分布
2024-09-04,1291,173,3873,5337,24.189619636499906,44,34,2024-09-04 15:00:16,同花顺涨跌分布
2024-09-05,3947,215,1175,5337,73.9554056586097,66,8,2024-09-05 15:09:16,同花顺涨跌分布
2024-09-06,539,86,4712,5337,10.099306726625446,43,4,2024-09-06 15:00:16,同花顺涨跌分布
2024-09-09,1945,297,3093,5335,36.45735707591378,57,18,2024-09-09 15:00:16,同花顺涨跌分布
2024-09-10,3324,243,1768,5335,62.30552952202437,49,31,2024-09-10 15:12:01,同花顺涨跌分布
2024-09-11,1605,186,3548,5339,30.06180932758944,35,30,2024-09-11 15:00:16,同花顺涨跌分布
2024-09-12,1893,306,3140,5339,35.456077917212966,48,6,2024-09-12 15:00:16,同花顺涨跌分布
2024-09-13,1094,161,4085,5340,20.48689138576779,47,15,2024-09-13 15:00:17,同花顺涨跌分布
2024-09-18,1520,167,3649,5336,28.48575712143928,32,28,2024-09-18 15:24:46,同花顺涨跌分布
2024-09-19,4799,53,489,5341,89.85208762404045,76,7,2024-09-19 15:05:31,同花顺涨跌分布
2024-09-20,1639,223,3479,5341,30.68713724021719,57,5,2024-09-20 15:31:46,同花顺涨跌分布
2024-09-23,2565,263,2514,5342,48.01572444777237,59,18,2024-09-23 15:00:16,同花顺涨跌分布
2024-09-24,5167,15,161,5343,96.70597042859816,98,7,2024-09-24 15:00:16,同花顺涨跌分布
2024-09-25,4164,171,1011,5346,77.89001122334456,66,5,2024-09-25 15:00:16,同花顺涨跌分布
2024-09-26,5143,27,177,5347,96.18477651019262,151,3,2024-09-26 15:23:31,同花顺涨跌分布
2024-09-27,5226,25,96,5347,97.73704881241818,138,3,2024-09-27 15:32:31,同花顺涨跌分布
2024-09-30,5336,0,8,5344,99.8502994011976,713,2,2024-09-30 15:33:01,同花顺涨跌分布
2024-10-08,5029,20,291,5340,94.17602996254682,791,3,2024-10-08 15:33:01,同花顺涨跌分布
2024-10-09,295,2,5043,5340,5.52434456928839,51,854,2024-10-09 15:33:02,同花顺涨跌分布
2024-10-10,2998,115,2229,5342,56.12130288281543,82,48,2024-10-10 15:32:31,同花顺涨跌分布
2024-10-11,442,39,4862,5343,8.27250608272506,51,33,2024-10-11 15:00:16,同花顺涨跌分布
2024-10-14,5023,39,282,5344,93.99326347305389,121,6,2024-10-14 15:00:16,同花顺涨跌分布
2024-10-15,801,62,4482,5345,14.985968194574369,72,2,2024-10-15 15:20:46,同花顺涨跌分布
2024-10-16,2726,165,2457,5348,50.97232610321616,106,5,2024-10-16 15:00:16,同花顺涨跌分布
2024-10-17,1800,103,3448,5351,33.63857222948982,68,7,2024-10-17 15:00:16,同花顺涨跌分布
2024-10-18,5094,56,200,5350,95.21495327102804,138,0,2024-10-18 15:19:31,同花顺涨跌分布
2024-10-21,3773,136,1441,5350,70.5233644859813,190,0,2024-10-21 15:00:16,同花顺涨跌分布
2024-10-22,3595,73,1681,5349,67.20882407926715,132,0,2024-10-22 15:00:18,同花顺涨跌分布
2024-10-23,2752,171,2423,5346,51.477740366629256,127,2,2024-10-23 15:30:16,同花顺涨跌分布
2024-10-24,2141,157,3050,5348,40.0336574420344,133,3,2024-10-24 15:00:16,同花顺涨跌分布
2024-10-25,4303,63,982,5348,80.45998504113687,191,1,2024-10-25 15:00:16,同花顺涨跌分布
2024-10-28,4223,49,1073,5345,79.00841908325538,294,1,2024-10-28 15:09:46,同花顺涨跌分布
2024-10-29,1062,38,4247,5347,19.86160463811483,152,19,2024-10-29 15:23:46,同花顺涨跌分布
2024-10-30,2320,109,2916,5345,43.40505144995323,194,8,2024-10-30 15:12:31,同花顺涨跌分布
2024-10-31,3512,115,1721,5348,65.66940912490651,212,14,2024-10-31 15:22:16,同花顺涨跌分布
2024-11-01,975,47,4326,5348,18.23111443530292,124,165,2024-11-01 15:32:46,同花顺涨跌分布
2024-11-04,4495,83,771,5349,84.03439895307534,186,43,2024-11-04 15:00:16,同花顺涨跌分布
2024-11-05,5069,44,239,5352,94.71225710014949,218,2,2024-11-05 15:00:16,同花顺涨跌分布
2024-11-06,2828,146,2379,5353,52.83018867924528,181,7,2024-11-06 15:13:46,同花顺涨跌分布
2024-11-07,4528,34,791,5353,84.5880814496544,233,10,2024-11-07 15:00:17,同花顺涨跌分布
2024-11-08,2221,88,3046,5355,41.47525676937442,155,6,2024-11-08 15:33:01,同花顺涨跌分布
2024-11-11,3939,82,1330,5351,73.61240889553355,213,19,2024-11-11 15:27:01,同花顺涨跌分布
2024-11-12,1486,93,3773,5352,27.765321375186847,113,20,2024-11-12 15:00:16,同花顺涨跌分布
